platform,display_name,match_kind,match_value,publisher_cn,category,sensitivity,default_max_minutes,enabled,source,notes
windows,Microsoft Word,path,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,CN=Microsoft Corporation,office,medium,120,true,aic-original,Word
windows,Microsoft Excel,path,C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE,CN=Microsoft Corporation,office,medium,120,true,aic-original,Excel
windows,Microsoft PowerPoint,path,C:\Program Files\Microsoft Office\root\Office16\POWERPNT.EXE,CN=Microsoft Corporation,office,medium,120,true,aic-original,PowerPoint
windows,Microsoft Outlook,path,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,CN=Microsoft Corporation,office,medium,120,true,aic-original,Outlook
windows,Notepad,path,C:\Windows\System32\notepad.exe,CN=Microsoft Windows,editors,low,60,true,aic-original,Plain text editor
windows,Notepad++,path,C:\Program Files\Notepad++\notepad++.exe,CN=Notepad++,editors,low,60,true,aic-original,Third-party editor
windows,Visual Studio Code,path,C:\Users\*\AppData\Local\Programs\Microsoft VS Code\Code.exe,CN=Microsoft Corporation,editors,medium,120,true,aic-original,VS Code
windows,Git for Windows bash,path,C:\Program Files\Git\bin\bash.exe,CN=The Git Development Community,shells,high,60,true,aic-original,Git Bash
windows,PuTTY,path,C:\Program Files\PuTTY\putty.exe,CN=Simon Tatham,remote-tools,medium,60,true,aic-original,SSH client
windows,WinSCP,path,C:\Program Files\WinSCP\WinSCP.exe,CN=Martin Prikryl,remote-tools,medium,60,true,aic-original,SFTP client
windows,7-Zip,path,C:\Program Files\7-Zip\7zFM.exe,CN=Igor Pavlov,utilities,low,60,true,aic-original,Archive tool
windows,Python launcher,path,C:\Windows\py.exe,CN=Python Software Foundation,script-hosts,high,30,true,aic-original,Python launcher
windows,python.exe,path,C:\Program Files\Python*\python.exe,CN=Python Software Foundation,script-hosts,high,30,true,aic-original,Python interpreter
windows,Node.js,path,C:\Program Files\nodejs\node.exe,CN=OpenJS Foundation,script-hosts,high,30,true,aic-original,Node runtime
windows,Docker Desktop,path,C:\Program Files\Docker\Docker\Docker Desktop.exe,CN=Docker Inc.,containers,high,60,true,aic-original,Docker Desktop
windows,Hyper-V Manager,path,C:\Windows\System32\virtmgmt.msc,CN=Microsoft Windows,admin-tools,high,60,true,aic-original,Hyper-V MMC
windows,Print Management,path,C:\Windows\System32\printmanagement.msc,CN=Microsoft Windows,admin-tools,medium,60,true,aic-original,Print MMC
windows,gpupdate.exe,path,C:\Windows\System32\gpupdate.exe,CN=Microsoft Windows,admin-tools,medium,15,true,aic-original,Group Policy refresh
windows,gpresult.exe,path,C:\Windows\System32\gpresult.exe,CN=Microsoft Windows,admin-tools,medium,15,true,aic-original,Group Policy report
windows,whoami.exe,path,C:\Windows\System32\whoami.exe,CN=Microsoft Windows,admin-tools,low,15,true,aic-original,Identity probe
windows,icacls.exe,path,C:\Windows\System32\icacls.exe,CN=Microsoft Windows,admin-tools,high,15,true,aic-original,ACL tool
windows,takeown.exe,path,C:\Windows\System32\takeown.exe,CN=Microsoft Windows,admin-tools,critical,10,true,aic-original,Take ownership
windows,cipher.exe,path,C:\Windows\System32\cipher.exe,CN=Microsoft Windows,admin-tools,high,15,true,aic-original,EFS / wipe tool
windows,fsutil.exe,path,C:\Windows\System32\fsutil.exe,CN=Microsoft Windows,admin-tools,high,15,true,aic-original,File system utility
windows,diskpart.exe,path,C:\Windows\System32\diskpart.exe,CN=Microsoft Windows,admin-tools,critical,10,true,aic-original,Disk partition CLI
windows,bcdedit.exe,path,C:\Windows\System32\bcdedit.exe,CN=Microsoft Windows,admin-tools,critical,10,true,aic-original,Boot configuration
windows,winget.exe,path,C:\Users\*\AppData\Local\Microsoft\WindowsApps\winget.exe,CN=Microsoft Corporation,installers,high,30,true,aic-original,Windows Package Manager
windows,Microsoft Store,publisher,CN=Microsoft Corporation,CN=Microsoft Corporation,installers,medium,60,true,aic-original,Store-signed apps family
linux,Bash,path,/bin/bash,CN=Linux Distribution (path template — verify on host),shells,high,30,true,aic-original,Bourne-again shell
linux,sh,path,/bin/sh,CN=Linux Distribution (path template — verify on host),shells,high,30,true,aic-original,POSIX shell
linux,zsh,path,/bin/zsh,CN=Linux Distribution (path template — verify on host),shells,high,30,true,aic-original,Z shell
linux,sudo,path,/usr/bin/sudo,CN=Linux Distribution (path template — verify on host),admin-tools,critical,10,true,aic-original,Privilege proxy
linux,su,path,/bin/su,CN=Linux Distribution (path template — verify on host),admin-tools,critical,10,true,aic-original,Switch user
linux,passwd,path,/usr/bin/passwd,CN=Linux Distribution (path template — verify on host),admin-tools,critical,10,true,aic-original,Password change
linux,useradd,path,/usr/sbin/useradd,CN=Linux Distribution (path template — verify on host),admin-tools,critical,10,true,aic-original,Add user
linux,usermod,path,/usr/sbin/usermod,CN=Linux Distribution (path template — verify on host),admin-tools,critical,10,true,aic-original,Modify user
linux,systemctl,path,/usr/bin/systemctl,CN=Linux Distribution (path template — verify on host),admin-tools,high,15,true,aic-original,systemd control
linux,journalctl,path,/usr/bin/journalctl,CN=Linux Distribution (path template — verify on host),admin-tools,medium,60,true,aic-original,systemd journal
linux,apt,path,/usr/bin/apt,CN=Linux Distribution (path template — verify on host),installers,high,30,true,aic-original,APT package tool
linux,apt-get,path,/usr/bin/apt-get,CN=Linux Distribution (path template — verify on host),installers,high,30,true,aic-original,APT get
linux,dnf,path,/usr/bin/dnf,CN=Linux Distribution (path template — verify on host),installers,high,30,true,aic-original,DNF package tool
linux,yum,path,/usr/bin/yum,CN=Linux Distribution (path template — verify on host),installers,high,30,true,aic-original,YUM package tool
linux,rpm,path,/usr/bin/rpm,CN=Linux Distribution (path template — verify on host),installers,high,30,true,aic-original,RPM tool
linux,dpkg,path,/usr/bin/dpkg,CN=Linux Distribution (path template — verify on host),installers,high,30,true,aic-original,dpkg tool
linux,pip3,path,/usr/bin/pip3,CN=Linux Distribution (path template — verify on host),script-hosts,high,30,true,aic-original,Python package installer
linux,python3,path,/usr/bin/python3,CN=Linux Distribution (path template — verify on host),script-hosts,high,30,true,aic-original,Python 3
linux,perl,path,/usr/bin/perl,CN=Linux Distribution (path template — verify on host),script-hosts,high,30,true,aic-original,Perl interpreter
linux,ruby,path,/usr/bin/ruby,CN=Linux Distribution (path template — verify on host),script-hosts,high,30,true,aic-original,Ruby interpreter
linux,node,path,/usr/bin/node,CN=Linux Distribution (path template — verify on host),script-hosts,high,30,true,aic-original,Node.js
linux,curl,path,/usr/bin/curl,CN=Linux Distribution (path template — verify on host),remote-tools,medium,30,true,aic-original,HTTP client
linux,wget,path,/usr/bin/wget,CN=Linux Distribution (path template — verify on host),remote-tools,medium,30,true,aic-original,HTTP fetch
linux,ssh,path,/usr/bin/ssh,CN=Linux Distribution (path template — verify on host),remote-tools,medium,60,true,aic-original,OpenSSH client
linux,scp,path,/usr/bin/scp,CN=Linux Distribution (path template — verify on host),remote-tools,medium,60,true,aic-original,Secure copy
linux,nmap,path,/usr/bin/nmap,CN=Linux Distribution (path template — verify on host),remote-tools,high,30,true,aic-original,Network mapper
linux,tcpdump,path,/usr/sbin/tcpdump,CN=Linux Distribution (path template — verify on host),remote-tools,high,15,true,aic-original,Packet capture
linux,docker,path,/usr/bin/docker,CN=Linux Distribution (path template — verify on host),containers,high,60,true,aic-original,Docker CLI
linux,podman,path,/usr/bin/podman,CN=Linux Distribution (path template — verify on host),containers,high,60,true,aic-original,Podman CLI
linux,kubectl,path,/usr/bin/kubectl,CN=Linux Distribution (path template — verify on host),containers,high,60,true,aic-original,Kubernetes CLI
linux,vim,path,/usr/bin/vim,CN=Linux Distribution (path template — verify on host),editors,low,60,true,aic-original,Vim editor
linux,nano,path,/usr/bin/nano,CN=Linux Distribution (path template — verify on host),editors,low,60,true,aic-original,Nano editor
linux,chrome,path,/usr/bin/google-chrome,CN=Linux Distribution (path template — verify on host),browsers,medium,120,true,aic-original,Chrome
linux,firefox,path,/usr/bin/firefox,CN=Linux Distribution (path template — verify on host),browsers,medium,120,true,aic-original,Firefox
linux,chromium,path,/usr/bin/chromium,CN=Linux Distribution (path template — verify on host),browsers,medium,120,true,aic-original,Chromium
linux,mount,path,/bin/mount,CN=Linux Distribution (path template — verify on host),admin-tools,high,15,true,aic-original,Mount filesystems
linux,umount,path,/bin/umount,CN=Linux Distribution (path template — verify on host),admin-tools,high,15,true,aic-original,Unmount
linux,chmod,path,/bin/chmod,CN=Linux Distribution (path template — verify on host),admin-tools,high,15,true,aic-original,Change mode
linux,chown,path,/bin/chown,CN=Linux Distribution (path template — verify on host),admin-tools,critical,10,true,aic-original,Change owner
linux,crontab,path,/usr/bin/crontab,CN=Linux Distribution (path template — verify on host),admin-tools,critical,10,true,aic-original,User crontab
linux,iptables,path,/usr/sbin/iptables,CN=Linux Distribution (path template — verify on host),admin-tools,critical,10,true,aic-original,Netfilter
linux,nft,path,/usr/sbin/nft,CN=Linux Distribution (path template — verify on host),admin-tools,critical,10,true,aic-original,nftables
linux,strace,path,/usr/bin/strace,CN=Linux Distribution (path template — verify on host),admin-tools,high,15,true,aic-original,Syscall tracer
linux,gdb,path,/usr/bin/gdb,CN=Linux Distribution (path template — verify on host),admin-tools,high,15,true,aic-original,Debugger
linux,openssl,path,/usr/bin/openssl,CN=Linux Distribution (path template — verify on host),admin-tools,medium,30,true,aic-original,OpenSSL CLI
linux,aws,path,/usr/local/bin/aws,CN=Linux Distribution (path template — verify on host),remote-tools,high,60,true,aic-original,AWS CLI
linux,gcloud,path,/usr/bin/gcloud,CN=Linux Distribution (path template — verify on host),remote-tools,high,60,true,aic-original,Google Cloud CLI
linux,az,path,/usr/bin/az,CN=Linux Distribution (path template — verify on host),remote-tools,high,60,true,aic-original,Azure CLI
linux,make,path,/usr/bin/make,CN=Linux Distribution (path template — verify on host),installers,medium,60,true,aic-original,Build tool
linux,gcc,path,/usr/bin/gcc,CN=Linux Distribution (path template — verify on host),installers,medium,60,true,aic-original,C compiler
linux,snap,path,/usr/bin/snap,CN=Linux Distribution (path template — verify on host),installers,high,30,true,aic-original,Snap packages
macos,Terminal,path,/System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal,CN=Apple Inc.,shells,high,60,true,aic-original,Terminal.app
macos,zsh,path,/bin/zsh,CN=Apple Inc.,shells,high,30,true,aic-original,Default shell
macos,bash,path,/bin/bash,CN=Apple Inc.,shells,high,30,true,aic-original,Bash
macos,osascript,path,/usr/bin/osascript,CN=Apple Inc.,script-hosts,critical,10,true,aic-original,AppleScript host
macos,osacompile,path,/usr/bin/osacompile,CN=Apple Inc.,script-hosts,critical,10,true,aic-original,AppleScript compiler
macos,installer,path,/usr/sbin/installer,CN=Apple Inc.,installers,high,30,true,aic-original,pkg installer
macos,softwareupdate,path,/usr/sbin/softwareupdate,CN=Apple Inc.,installers,high,60,true,aic-original,Software Update CLI
macos,pkgutil,path,/usr/sbin/pkgutil,CN=Apple Inc.,installers,medium,30,true,aic-original,Package utility
macos,dscl,path,/usr/bin/dscl,CN=Apple Inc.,admin-tools,critical,10,true,aic-original,Directory Service CLI
macos,dseditgroup,path,/usr/sbin/dseditgroup,CN=Apple Inc.,admin-tools,critical,10,true,aic-original,Group editor
macos,launchctl,path,/bin/launchctl,CN=Apple Inc.,admin-tools,critical,10,true,aic-original,launchd control
macos,csrutil,path,/usr/bin/csrutil,CN=Apple Inc.,admin-tools,critical,10,true,aic-original,SIP utility
macos,spctl,path,/usr/sbin/spctl,CN=Apple Inc.,admin-tools,high,15,true,aic-original,Gatekeeper
macos,security,path,/usr/bin/security,CN=Apple Inc.,admin-tools,high,15,true,aic-original,Keychain CLI
macos,diskutil,path,/usr/sbin/diskutil,CN=Apple Inc.,admin-tools,high,15,true,aic-original,Disk utility CLI
macos,tmutil,path,/usr/bin/tmutil,CN=Apple Inc.,admin-tools,medium,30,true,aic-original,Time Machine
macos,defaults,path,/usr/bin/defaults,CN=Apple Inc.,admin-tools,medium,15,true,aic-original,plist defaults
macos,plutil,path,/usr/bin/plutil,CN=Apple Inc.,admin-tools,medium,15,true,aic-original,plist tool
macos,curl,path,/usr/bin/curl,CN=Apple Inc.,remote-tools,medium,30,true,aic-original,HTTP client
macos,ssh,path,/usr/bin/ssh,CN=Apple Inc.,remote-tools,medium,60,true,aic-original,OpenSSH
macos,scp,path,/usr/bin/scp,CN=Apple Inc.,remote-tools,medium,60,true,aic-original,Secure copy
macos,python3,path,/usr/bin/python3,CN=Apple Inc.,script-hosts,high,30,true,aic-original,Python 3
macos,ruby,path,/usr/bin/ruby,CN=Apple Inc.,script-hosts,high,30,true,aic-original,Ruby
macos,perl,path,/usr/bin/perl,CN=Apple Inc.,script-hosts,high,30,true,aic-original,Perl
macos,node,path,/usr/local/bin/node,CN=Apple or Homebrew (path template — verify on host),script-hosts,high,30,true,aic-original,Node.js Homebrew path
macos,Safari,path,/Applications/Safari.app/Contents/MacOS/Safari,CN=Apple Inc.,browsers,medium,120,true,aic-original,Safari
macos,Google Chrome,path,/Applications/Google Chrome.app/Contents/MacOS/Google Chrome,CN=Google LLC,browsers,medium,120,true,aic-original,Chrome
macos,Firefox,path,/Applications/Firefox.app/Contents/MacOS/firefox,CN=Mozilla Corporation,browsers,medium,120,true,aic-original,Firefox
macos,Microsoft Word,path,/Applications/Microsoft Word.app/Contents/MacOS/Microsoft Word,CN=Microsoft Corporation,office,medium,120,true,aic-original,Word
macos,Microsoft Excel,path,/Applications/Microsoft Excel.app/Contents/MacOS/Microsoft Excel,CN=Microsoft Corporation,office,medium,120,true,aic-original,Excel
macos,Microsoft Outlook,path,/Applications/Microsoft Outlook.app/Contents/MacOS/Microsoft Outlook,CN=Microsoft Corporation,office,medium,120,true,aic-original,Outlook
macos,Visual Studio Code,path,/Applications/Visual Studio Code.app/Contents/MacOS/Electron,CN=Microsoft Corporation,editors,medium,120,true,aic-original,VS Code
macos,Xcode,path,/Applications/Xcode.app/Contents/MacOS/Xcode,CN=Apple Inc.,editors,medium,120,true,aic-original,Xcode IDE
macos,Docker,path,/Applications/Docker.app/Contents/MacOS/Docker,CN=Docker Inc.,containers,high,60,true,aic-original,Docker Desktop
macos,kubectl,path,/usr/local/bin/kubectl,CN=Apple or Homebrew (path template — verify on host),containers,high,60,true,aic-original,Kubernetes CLI
macos,brew,path,/opt/homebrew/bin/brew,CN=Apple or Homebrew (path template — verify on host),installers,high,30,true,aic-original,Homebrew
macos,npm,path,/usr/local/bin/npm,CN=Apple or Homebrew (path template — verify on host),installers,high,30,true,aic-original,Node package manager
macos,pip3,path,/usr/bin/pip3,CN=Apple Inc.,installers,high,30,true,aic-original,pip
macos,open,path,/usr/bin/open,CN=Apple Inc.,utilities,low,30,true,aic-original,Launch apps/URLs
macos,screencapture,path,/usr/sbin/screencapture,CN=Apple Inc.,utilities,medium,15,true,aic-original,Screen capture
macos,networksetup,path,/usr/sbin/networksetup,CN=Apple Inc.,admin-tools,high,15,true,aic-original,Network setup
macos,scutil,path,/usr/sbin/scutil,CN=Apple Inc.,admin-tools,high,15,true,aic-original,System configuration
macos,sysadminctl,path,/usr/sbin/sysadminctl,CN=Apple Inc.,admin-tools,critical,10,true,aic-original,User admin
macos,profiles,path,/usr/bin/profiles,CN=Apple Inc.,admin-tools,high,15,true,aic-original,Configuration profiles
macos,mdmclient,path,/usr/libexec/mdmclient,CN=Apple Inc.,admin-tools,high,15,true,aic-original,MDM client
macos,log,path,/usr/bin/log,CN=Apple Inc.,admin-tools,medium,60,true,aic-original,Unified logging
macos,fs_usage,path,/usr/bin/fs_usage,CN=Apple Inc.,admin-tools,high,15,true,aic-original,Filesystem activity
macos,dtrace,path,/usr/sbin/dtrace,CN=Apple Inc.,admin-tools,critical,10,true,aic-original,DTrace
macos,lldb,path,/usr/bin/lldb,CN=Apple Inc.,admin-tools,high,15,true,aic-original,Debugger
